channel,epoch,model_normalized_relative_l2,persistence_normalized_relative_l2,residual_cosine,residual_relative_l2,stratum,variant
Bcc1,150,0.1872041281659293,0.28482598497927486,0.7679658059432488,0.6572578982233636,early,spectral_only
Bcc2,150,0.304433489636673,0.45674479255146005,0.7691439948730893,0.6665286492567445,early,spectral_only
Bcc3,150,0.14965989142026817,0.2773950099583625,0.857530310752321,0.5395190470376556,early,spectral_only
rho,150,0.13521074999588387,0.13682514428780992,0.23807381010545386,0.9882010396540718,early,spectral_only
press,150,0.11934449341416144,0.1251784263599631,0.30172741591125124,0.9533950604272398,early,spectral_only
vel1,150,0.07860275804973975,0.06278456799878314,0.015908391753545796,1.251943911415358,early,spectral_only
vel2,150,0.7240720818521325,0.6837038712736601,0.4936645469587836,1.0590434137599911,early,spectral_only
vel3,150,0.12987869094890755,0.12189946783276068,0.17453030402514774,1.0654574076592258,early,spectral_only
Bcc1,150,0.2768045301403532,0.3288084753556263,0.6033256856754831,0.841841226427285,middle,spectral_only
Bcc2,150,0.49699891671114255,0.5865376698838368,0.6303556454797946,0.8473435590240088,middle,spectral_only
Bcc3,150,0.23797763535874808,0.3148480173478991,0.7138397958277359,0.75584924227959,middle,spectral_only
rho,150,0.1523385028400583,0.14518316783081658,0.13526547004935535,1.0492848795325525,middle,spectral_only
press,150,0.1386656729430705,0.14011055201229025,0.19736960756301972,0.9896875784922635,middle,spectral_only
vel1,150,0.09993681444735747,0.08163292422444476,0.059939631460903836,1.2242219098860219,middle,spectral_only
vel2,150,0.9380282071663893,0.7639180383780854,0.32020832215526013,1.2279173419530525,middle,spectral_only
vel3,150,0.14847464178972936,0.14083191587384428,0.23743802141101056,1.054268423175986,middle,spectral_only
Bcc1,150,0.31462208357585275,0.35219681138038617,0.5162154992478283,0.8933132653376988,late,spectral_only
Bcc2,150,0.5810041878767328,0.6209637953125721,0.5986667317827765,0.9356490542913415,late,spectral_only
Bcc3,150,0.2684260737921407,0.3311387993674422,0.6339539828256536,0.8106149878165909,late,spectral_only
rho,150,0.19368737044023437,0.17915811053359348,0.08204311352610043,1.0810974155677924,late,spectral_only
press,150,0.17126959594664798,0.16601350087591196,0.1144882994939431,1.0316606481797352,late,spectral_only
vel1,150,0.15845881607097193,0.13324031644956305,0.017470790827049665,1.1892707871156156,late,spectral_only
vel2,150,1.3001690749646557,0.793967478635199,0.14783118844541818,1.6375596102959027,late,spectral_only
vel3,150,0.1947218536581988,0.160779238683388,0.12101745445978446,1.2111131716979031,late,spectral_only
